Scheme Name,Scheme Category,company_name,sector_name,corpus_per,NAV,Units
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Reliance Industries Ltd.,Energy,9.72,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Exicom Tele-Systems Ltd.,Energy,5.88,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Juniper Hotels Ltd.,Services,5.75,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Bharat Electronics Ltd.,Capital Goods,4.25,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Larsen & Toubro Ltd.,Construction,4.23,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Steel Ltd.,Metals & Mining,3.91,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Jana Small Finance Bank Ltd.,Financial,3.44,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Life Insurance Corporation of India,Insurance,2.97,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Consultancy Services Ltd.,Technology,2.6,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Bharat Heavy Electricals Ltd.,Capital Goods,2.59,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Aurobindo Pharma Ltd.,Healthcare,2.49,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Coal India Ltd.,Energy,2.44,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Adani Power Ltd.,Energy,2.28,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Communications Ltd.,Communication,2.22,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Chemicals Ltd.,Chemicals,2.19,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Reserve Bank of India,Financial,2.18,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Wipro Ltd.,Technology,2.12,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Aurobindo Pharma Ltd.,Healthcare,2.01,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Biocon Ltd.,Healthcare,1.95,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Larsen & Toubro Ltd.,Construction,1.94,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Indian Railway Catering And Tourism Corporation Ltd.,Services,1.92,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Container Corporation Of India Ltd.,Services,1.87,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Reserve Bank of India,Financial,1.82,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Capacit'e Infraprojects Ltd.,Construction,1.74,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Apeejay Surrendra Park Hotels Ltd.,Services,1.7,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Maruti Suzuki India Ltd.,Automobile,1.58,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Power Company Ltd.,Energy,1.53,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Gujarat Gas Ltd.,Energy,1.48,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Reserve Bank of India,Financial,1.46,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,SMS Pharmaceuticals Ltd.,Healthcare,1.41,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Central Depository Services (India) Ltd.,Financial,1.39,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Power Company Ltd.,Energy,1.38,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Mphasis Ltd.,Technology,1.17,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Popular Vehicles And Services Ltd.,Services,1.15,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Pitti Engineering Ltd.,Capital Goods,1.14,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Samvardhana Motherson International Ltd.,Automobile,1.08,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,GAIL (India) Ltd.,Energy,1.07,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Reserve Bank of India,Financial,1.03,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,GMR Airports Infrastructure Ltd.,Construction,1.01,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Kalyani Steels Ltd.,Metals & Mining,0.98,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Steel Ltd.,Metals & Mining,0.96,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Britannia Industries Ltd.,Consumer Staples,0.8,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Steel Authority Of India Ltd.,Metals & Mining,0.79,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Poonawalla Fincorp Ltd.,Financial,0.77,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Just Dial Ltd.,Services,0.71,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,GAIL (India) Ltd.,Energy,0.57,14.02,3000.0
Quant Momentum Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Consultancy Services Ltd.,Technology,0.29,14.02,3000.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Maruti Suzuki India Ltd.,Automobile,11.33,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Bajaj Auto Ltd.,Automobile,7.53,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Motors Ltd.,Automobile,7.5,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Zomato Ltd.,Services,6.55,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Eicher Motors Ltd.,Automobile,6.02,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Tata Motors Ltd. - DVR Ordinary,Automobile,5.91,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Mahindra & Mahindra Ltd.,Automobile,5.78,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Bosch Ltd.,Automobile,5.04,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,CIE Automotive India Ltd.,Metals & Mining,3.87,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Adani Ports and Special Economic Zone Ltd.,Services,3.22,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Interglobe Aviation Ltd.,Services,3.19,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Apollo Tyres Ltd.,Automobile,2.88,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Schaeffler India Ltd.,Capital Goods,2.42,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Varroc Engineering Ltd.,Automobile,2.42,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Gujarat Pipavav Port Ltd.,Services,2.35,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Timken India Ltd.,Capital Goods,2.24,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,BEML Ltd.,Capital Goods,2.1,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Balkrishna Industries Ltd.,Automobile,1.94,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Suprajit Engineering Ltd.,Automobile,1.93,13.66,1500.0
HDFC Transportation and Logistics Fund Direct   Growth,Equity - Sectoral / Thematic,Carborundum Universal Ltd.,Metals & Mining,1.75,13.66,1500.0
