Scheme Name,Scheme Category,NAV
360 ONE Balanced Hybrid Fund Direct Growth,ALLOCATION,11.383
360 ONE Balanced Hybrid Fund Direct Payout Inc Dist cum Cap Wdrl,ALLOCATION,11.383
360 ONE Balanced Hybrid Fund Direct Reinvestment Inc Dist cum Cap Wdrl,ALLOCATION,11.383
360 ONE Balanced Hybrid Fund Regular Growth,ALLOCATION,11.28
360 ONE Balanced Hybrid Fund Regular Payout Inc Dist cum Cap Wdrl,ALLOCATION,11.28
360 ONE Balanced Hybrid Fund Regular Reinvestment Inc Dist cum Cap Wdrl,ALLOCATION,11.28
360 ONE Dynamic Bond Fund Direct Growth,FIXEDINCOME,21.3058
360 ONE Dynamic Bond Fund Direct Monthly Payout of Income Distribution cum Cap Wdrl,FIXEDINCOME,13.0842
360 ONE Dynamic Bond Fund Direct Monthly Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,13.0842
360 ONE Dynamic Bond Fund Direct Quarterly Payout of Income Distribution cum Cap Wdrl,FIXEDINCOME,19.6633
360 ONE Dynamic Bond Fund Direct Quarterly Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,19.6633
360 ONE Dynamic Bond Fund Regular Bonus,FIXEDINCOME,20.2529
360 ONE Dynamic Bond Fund Regular Growth,FIXEDINCOME,20.253
360 ONE Dynamic Bond Fund Regular Half Yearly Payout of Income Distribution cum Cap Wdrl,FIXEDINCOME,19.544
360 ONE Dynamic Bond Fund Regular Half Yearly Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,19.544
360 ONE Dynamic Bond Fund Regular Monthly Payout of Income Distribution cum Cap Wdrl,FIXEDINCOME,12.2147
360 ONE Dynamic Bond Fund Regular Monthly Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,12.2147
360 ONE Dynamic Bond Fund Regular Quarterly Payout of Income Distribution cum Cap Wdrl,FIXEDINCOME,19.5442
360 ONE Dynamic Bond Fund Regular Quarterly Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,19.5442
360 ONE ELSS Tax Saver Nifty 50 Index Fund Direct Growth,EQUITY,12.3694
360 ONE ELSS Tax Saver Nifty 50 Index Fund Direct Payout Inc Dist cum Cap Wdrl,EQUITY,12.3694
360 ONE ELSS Tax Saver Nifty 50 Index Fund Regular Growth,EQUITY,12.3274
360 ONE ELSS Tax Saver Nifty 50 Index Fund Regular Payout Inc Dist cum Cap Wdrl,EQUITY,12.3274
360 ONE Flexicap Fund Direct Growth,EQUITY,13.315
360 ONE Flexicap Fund Direct Payout of Income Distribution cum Cap Wdrl,EQUITY,13.315
360 ONE Flexicap Fund Direct Reinvestment of Income Distribution cum Cap Wdrl,EQUITY,13.315
360 ONE Flexicap Fund Regular Growth,EQUITY,13.1416
360 ONE Flexicap Fund Regular Payout of Income Distribution cum Cap Wdrl,EQUITY,13.1416
360 ONE Flexicap Fund Regular Reinvestment of Income Distribution cum Cap Wdrl,EQUITY,13.1416
360 ONE Focused Equity Fund Direct Growth,EQUITY,48.0483
360 ONE Focused Equity Fund Direct Payout of Income Distribution cum Cap Wdrl,EQUITY,47.5582
360 ONE Focused Equity Fund Direct Reinvestment of Income Distribution cum Cap Wdrl,EQUITY,47.5582
360 ONE Focused Equity Fund Regular Growth,EQUITY,42.8822
360 ONE Focused Equity Fund Regular Payout of Income Distribution cum Cap Wdrl,EQUITY,37.9419
360 ONE Focused Equity Fund Regular Reinvestment of Income Distribution cum Cap Wdrl,EQUITY,37.9419
360 ONE Liquid Fund Direct Daily Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,1000.1492
360 ONE Liquid Fund Direct Growth,FIXEDINCOME,1870.2829
360 ONE Liquid Fund Direct Weekly Payout of Income Distribution cum Cap Wdrl,FIXEDINCOME,1005.1223
360 ONE Liquid Fund Direct Weekly Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,1005.1223
360 ONE Liquid Fund Regular Daily Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,1000.1492
360 ONE Liquid Fund Regular Growth,FIXEDINCOME,1860.4745
360 ONE Liquid Fund Regular Weekly Payout of Income Distribution cum Cap Wdrl,FIXEDINCOME,1005.1314
360 ONE Liquid Fund Regular Weekly Reinvestment of Income Distribution cum Cap Wdrl,FIXEDINCOME,1005.1314
360 ONE Quant Fund Direct Growth,EQUITY,17.3054
360 ONE Quant Fund Direct Payout of Income Distribution cum Cap Wdrl,EQUITY,17.3054
360 ONE Quant Fund Direct Reinvestment of Income Distribution cum Cap Wdrl,EQUITY,17.3054
360 ONE Quant Fund Regular Growth,EQUITY,16.8223
360 ONE Quant Fund Regular Payout of Income Distribution cum Cap Wdrl,EQUITY,16.8223
360 ONE Quant Fund Regular Reinvestment of Income Distribution cum Cap Wdrl,EQUITY,16.8223
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Plan Growth Option,ALLOCATION,35.8611
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Pyt of Inc Dis cum cptl wdrl,ALLOCATION,22.4554
Aditya Birla Sun Life Active Debt Multi Manager FoF Scheme Direct Rnvstmnt of Inc Dis cum cptl wdrl,ALLOCATION,22.4554
Aditya Birla Sun Life Active Debt Multi Manager FOF Scheme Growth,ALLOCATION,34.0627
Aditya Birla Sun Life Active Debt Multi Manager FOF Scheme Payout of Income Dis cum cptl wdrl,ALLOCATION,21.3619
Aditya Birla Sun Life Active Debt Multi Manager FOF Scheme Rnvstmnt of Income Dis cum cptl wdrl,ALLOCATION,21.3619
Aditya Birla Sun Life Arbitrage Fund Direct Plan Growth,EQUITY,26.2446
Aditya Birla Sun Life Arbitrage Fund Direct Plan Payout of Income Dis cum cptl wdrl,EQUITY,11.4816
Aditya Birla Sun Life Arbitrage Fund Direct Plan Reinvestment of Income Dis cum cptl wdrl,EQUITY,11.4816
Aditya Birla Sun Life Arbitrage Fund Growth,EQUITY,24.5511
Aditya Birla Sun Life Arbitrage Fund Payout of Income Dis cum cptl wdrl,EQUITY,11.2199
Aditya Birla Sun Life Arbitrage Fund Reinvestment of Income Dis cum cptl wdrl,EQUITY,11.2199
Aditya Birla Sun Life Asset Allocator FoF Scheme Direct Growth Option,ALLOCATION,30.1046
Aditya Birla Sun Life Asset Allocator FoF Scheme Direct Payout of Income Dis cum cptl wdrl,ALLOCATION,28.6865
Aditya Birla Sun Life Asset Allocator FoF Scheme Direct Reinvestment of Income Dis cum cptl wdrl,ALLOCATION,28.6865
Aditya Birla Sun Life Asset Allocator FoF Scheme Growth,ALLOCATION,57.7414
Aditya Birla Sun Life Asset Allocator FoF Scheme Payout of Income Dis cum cptl wdrl,ALLOCATION,53.1716
Aditya Birla Sun Life Asset Allocator FoF Scheme Reinvestment of Income Dis cum cptl wdrl,ALLOCATION,53.1716
Aditya Birla Sun Life Bal Bhavishya Yojna Direct Growth,ALLOCATION,19.47
Aditya Birla Sun Life Bal Bhavishya Yojna Direct Payout Inc Dist cum Cap Wdrl,ALLOCATION,19.47
Aditya Birla Sun Life Bal Bhavishya Yojna Direct Reinvestment Inc Dist cum Cap Wdrl,ALLOCATION,19.47
Aditya Birla Sun Life Bal Bhavishya Yojna Regular Growth,ALLOCATION,17.76
Aditya Birla Sun Life Bal Bhavishya Yojna Regular Payout Inc Dist cum Cap Wdrl,ALLOCATION,17.77
Aditya Birla Sun Life Bal Bhavishya Yojna Regular Reinvestment Inc Dist cum Cap Wdrl,ALLOCATION,17.77
Aditya Birla Sun Life Balanced Advantage Fund Direct Plan Growth Option,ALLOCATION,103.71
Aditya Birla Sun Life Balanced Advantage Fund Direct Plan Payout Inc Dist cum Cap Wdrl,ALLOCATION,28.41
