,country,name,symbol,issuer,isin,asset_class,currency,underlying
0,india,Hdfc Standard Life - Balanced Managed Investment Pension,0P0000SBP7,HDFC Standard Life Insurance Co. Ltd.,,equity,INR,
1,india,Icici Prudential Life - Balancer Fund,0P0000NQVZ,ICICI Prudential Life Insurance Co Ltd,,equity,INR,
2,india,Hdfc Standard Life - Balanced Managed Investment Life Ii,0P0000NNER,HDFC Standard Life Insurance Co. Ltd.,,equity,INR,
3,india,Aditya Birla Sun Life - Individual Creator Fund,0P0000NNDI,Birla Sun Life Insurance Co. Ltd.,,equity,INR,
4,india,Icici Prudential Life - Multi Cap Balanced Fund,0P0000NQXG,ICICI Prudential Life Insurance Co Ltd,,equity,INR,
5,india,Hdfc Standard Life - Balanced Managed Investment Life,0P0000NNES,HDFC Standard Life Insurance Co. Ltd.,,equity,INR,
6,india,Canara Hsbc Oriental Bank Of Commerce Life - Unit Linked Balanced Plus Fund,0P0000SELA,Canara HSBC Orient BankofCom Life Ins Co,,equity,INR,
7,india,Hdfc Standard Life - Balanced Managed Investment Pension Ii,0P0000NNF8,HDFC Standard Life Insurance Co. Ltd.,,equity,INR,
8,india,Lic Of India - Profit Plus Secure,0P0000NPCH,Life Insurance Corporation of India,,equity,INR,
9,india,Tata Aia Life - Whole Life Stable Growth Fund,0P0000NQKB,TATA AIA Life Insurance Company Limited,,equity,INR,
10,india,Icici Prudential Life - Balancer Fund Iv,0P0000NQW4,ICICI Prudential Life Insurance Co Ltd,,equity,INR,
11,india,Kotak Mahindra Old Mutual Life - Kotak Pension Balanced Fund,0P0000NPAT,Kotak Mahindra Old Mutual Life Insu Ltd.,,equity,INR,
12,india,Icici Prudential Life - Health Flexi Balanced Fund,0P0000NQWX,ICICI Prudential Life Insurance Co Ltd,,equity,INR,
13,india,Bharti Axa Life - Save And Grow,0P0000NNCW,Bharti AXA Life Insurance Pvt. Ltd.,,equity,INR,
14,india,Icici Prudential Life - Health Balancer Fund,0P0000NQWW,ICICI Prudential Life Insurance Co Ltd,,equity,INR,
15,india,Hdfc Standard Life - Pension Super Plus Fund 2012,0P0000XX0C,HDFC Standard Life Insurance Co. Ltd.,,equity,INR,
16,india,Lic Of India - Profit Plus Balanced,0P0000NPCG,Life Insurance Corporation of India,,equity,INR,
17,india,Kotak Mahindra Old Mutual Life - Kotak Pension Growth Fund,0P0000NPAX,Kotak Mahindra Old Mutual Life Insu Ltd.,,equity,INR,
18,india,Aditya Birla Sun Life - Individual Pension Plan Enrich Fund,0P0000NNDS,Birla Sun Life Insurance Co. Ltd.,,equity,INR,
19,india,Max Life - Balance Fund,0P0000NPDF,Max Life Insurance Company Ltd.,,equity,INR,
20,india,Kotak Mahindra Old Mutual Life - Kotak Pension Frontline Equity Fund,0P0000NPBM,Kotak Mahindra Old Mutual Life Insu Ltd.,,equity,INR,
21,india,Uti Unit Linked Insurance Plan- Direct,0P0000XWBQ,UTI Asset Management Company Ltd,,equity,INR,
22,india,Bajaj Allianz Life - Pure Equity Fund,0P0000NQAW,Bajaj Allianz Life Insurance Company Ltd,,equity,INR,
23,india,Bharti Axa Life - Growth Opportunities Fund,0P0000NNCY,Bharti AXA Life Insurance Pvt. Ltd.,,equity,INR,
24,india,Bharti Axa Life - Save And Grow Money Pension,0P0000NND4,Bharti AXA Life Insurance Pvt. Ltd.,,equity,INR,
25,india,Bajaj Allianz Life - Equity Plus Pension,0P0000NQS0,Bajaj Allianz Life Insurance Company Ltd,,equity,INR,
26,india,Bharti Axa Life - Growth Opportunities Pension Plus Fund,0P0000S2JU,Bharti AXA Life Insurance Pvt. Ltd.,,equity,INR,
27,india,Bharti Axa Life - Build India Fund,0P0000NND3,Bharti AXA Life Insurance Pvt. Ltd.,,equity,INR,
28,india,Tata Aia Life - Super Select Equity Pension Fund,0P0000NQKL,TATA AIA Life Insurance Company Limited,,equity,INR,
